,0,1
0,'000101,'200403030
1,'000118,'200403030
2,'000125,'200403030
3,'000200,'200403032
4,'000200,'200403032
5,'000217,'200403032
6,'000217,'200403032
7,'000309,'200102864
8,'000309,'200102864
9,'000408,'200502548
10,'000507,'200502555
11,'000507,'200502555
12,'000606,'200502556
13,'000606,'200502556
14,'000613,'200502556
15,'000613,'200502556
16,'000620,'200502556
17,'000620,'200502556
18,'000705,'200403031
19,'000712,'200403031
20,'000804,'200102862
21,'000804,'200102862
22,'000903,'196400090
23,'000910,'196400090
24,'000927,'196400090
25,'000934,'196400090
26,'000941,'196400090
27,'000958,'196400090
28,'000965,'196400090
29,'000972,'196400090
30,'000989,'196400090
31,'001009,'200712057
32,'001016,'200712057
33,'001023,'200712057
34,'001108,'196400089
35,'001115,'196400089
36,'001122,'196400089
37,'001139,'196400089
38,'001146,'196400089
39,'001153,'196400089
40,'001160,'196400089
41,'001207,'200511118
42,'001214,'200511118
43,'001221,'200511118
44,'001306,'199702860
45,'001405,'200502538
46,'001504,'199802877
47,'001504,'199802877
48,'001603,'199903092
49,'001603,'199903092
50,'001702,'199802879
51,'001801,'200003582
52,'001801,'200003582
53,'001900,'200102868
54,'001917,'200102868
55,'001924,'200102868
56,'002006,'199903093
57,'002006,'199903093
58,'002105,'199602505
59,'002204,'199702862
60,'002303,'199401772
61,'002402,'199802856
62,'002501,'199802878
63,'002501,'199802878
64,'002600,'199903091
65,'002600,'199903091
66,'002709,'199702861
67,'002716,'199702861
68,'002808,'199602504
69,'002815,'199602504
70,'002822,'199602504
71,'002907,'200102872
72,'002907,'200102872
73,'003003,'200003637
74,'003102,'199903089
75,'003102,'199903089
76,'003201,'199903090
77,'003201,'199903090
78,'003300,'200102863
79,'003317,'200102863
80,'003409,'199903059
81,'003416,'199903059
82,'003508,'199903060
83,'003515,'199903060
84,'003607,'199702859
85,'003614,'199702859
86,'003706,'199903058
87,'003713,'199903058
88,'003805,'199903061
89,'003812,'199903061
90,'003904,'199702858
91,'003911,'199702858
92,'004000,'200403029
93,'004017,'200403029
94,'004024,'200403029
95,'004109,'200102871
