,0,1,2
0,'000102,'196800088,0
1,'000119,'196800088,1
2,'001819,'196800088,1
3,'001826,'196800088,1
4,'001833,'196800088,1
5,'001840,'196800088,1
6,'001857,'196800088,1
7,'001864,'196800088,1
8,'001871,'196800088,1
9,'001888,'196800088,1
10,'001895,'196800088,1
11,'001918,'196800088,1
12,'001925,'196800088,1
13,'001932,'196800088,1
14,'001949,'196800088,1
15,'001956,'196800088,1
16,'001963,'196800088,1
17,'001970,'196800088,1
18,'001987,'196800088,1
19,'001994,'196800088,1
20,'002014,'196800088,1
21,'002021,'196800088,1
22,'002038,'196800088,1
23,'002045,'196800088,1
24,'002052,'196800088,1
25,'002069,'196800088,1
26,'002076,'196800088,1
27,'002083,'196800088,1
28,'002090,'196800088,1
29,'002113,'196800088,1
30,'002120,'196800088,1
31,'002137,'196800088,1
32,'002144,'196800088,1
33,'002151,'196800088,1
34,'002168,'196800088,1
35,'002175,'196800088,1
36,'002182,'196800088,1
37,'002199,'196800088,1
38,'002212,'196800088,1
39,'002229,'196800088,1
40,'002236,'196800088,1
41,'002243,'196800088,1
42,'002250,'196800088,1
43,'002267,'196800088,1
44,'002274,'196800088,1
45,'002281,'196800088,1
46,'002298,'196800088,1
47,'002311,'196800088,1
48,'002328,'196800088,1
49,'002335,'196800088,1
50,'002342,'196800088,1
51,'002359,'196800088,1
52,'002366,'196800088,1
53,'002373,'196800088,1
54,'002380,'196800088,1
55,'002397,'196800088,1
56,'002410,'196800088,1
57,'002427,'196800088,1
58,'002434,'196800088,1
59,'002441,'196800088,1
60,'002458,'196800088,1
61,'002465,'196800088,1
62,'002472,'196800088,1
63,'002489,'196800088,1
64,'002496,'196800088,1
65,'002519,'196800088,1
66,'002526,'196800088,1
67,'002533,'196800088,1
68,'002540,'196800088,1
69,'002557,'196800088,1
70,'002564,'196800088,1
71,'002571,'196800088,1
72,'002588,'196800088,1
73,'002595,'196800088,1
74,'002618,'196800088,1
75,'002625,'196800088,1
76,'002632,'196800088,1
77,'002649,'196800088,1
78,'002656,'196800088,1
79,'002663,'196800088,1
80,'002670,'196800088,1
81,'002687,'196800088,1
82,'002694,'196800088,1
83,'002717,'196800088,1
84,'002724,'196800088,1
85,'002731,'196800088,1
86,'002748,'196800088,1
87,'002755,'196800088,1
88,'002762,'196800088,1
89,'002779,'196800088,1
90,'002786,'196800088,1
91,'002793,'196800088,1
92,'002816,'196800088,1
93,'002823,'196800088,1
94,'002830,'196800088,1
95,'002847,'196800088,1
96,'002854,'196800088,1
97,'002861,'196800088,1
98,'002878,'196800088,1
99,'002885,'196800088,1
100,'002892,'196800088,1
101,'002915,'196800088,1
102,'002922,'196800088,1
103,'002939,'196800088,1
104,'002946,'196800088,1
105,'002953,'196800088,1
106,'002960,'196800088,1
107,'002977,'196800088,1
108,'002984,'196800088,1
109,'002991,'196800088,1
110,'003011,'196800088,1
111,'003028,'196800088,1
112,'003035,'196800088,1
113,'003042,'196800088,1
114,'003059,'196800088,1
115,'003066,'196800088,1
116,'003073,'196800088,1
117,'003080,'196800088,1
